"No.","Time","Source","Destination","Protocol","Length","Info"
"253","0.480630","57.144.100.192","192.168.137.7","UDP","1274","443  >  36465 Len=1232"
"254","0.482738","57.144.100.192","192.168.137.7","UDP","1274","443  >  36465 Len=1232"
"255","0.482940","57.144.100.192","192.168.137.7","UDP","1274","443  >  36465 Len=1232"
"256","0.483028","57.144.100.192","192.168.137.7","UDP","1274","443  >  36465 Len=1232"
"257","0.483101","57.144.100.192","192.168.137.7","UDP","1274","443  >  36465 Len=1232"
"258","0.483168","57.144.100.192","192.168.137.7","UDP","1274","443  >  36465 Len=1232"
"259","0.483234","57.144.100.192","192.168.137.7","UDP","1274","443  >  36465 Len=1232"
"260","0.483303","57.144.100.192","192.168.137.7","UDP","1274","443  >  36465 Len=1232"
"261","0.483373","57.144.100.192","192.168.137.7","UDP","1274","443  >  36465 Len=1232"
"262","0.483438","57.144.100.192","192.168.137.7","UDP","1274","443  >  36465 Len=1232"
"263","0.483536","57.144.100.192","192.168.137.7","UDP","1274","443  >  36465 Len=1232"
"264","0.483608","57.144.100.192","192.168.137.7","UDP","1274","443  >  36465 Len=1232"
"265","0.483675","57.144.100.192","192.168.137.7","UDP","1274","443  >  36465 Len=1232"
"266","0.483742","57.144.100.192","192.168.137.7","UDP","1274","443  >  36465 Len=1232"
"267","0.495461","192.168.137.7","157.240.208.63","QUIC","142","Handshake, DCID=bc00ab47262c939d"
"268","0.495461","192.168.137.7","157.240.208.63","QUIC","110","Protected Payload (KP0), DCID=bc00ab47262c939d"
"269","0.495461","192.168.137.7","157.240.208.63","QUIC","1294","Protected Payload (KP0), DCID=bc00ab47262c939d"
"270","0.495461","192.168.137.7","157.240.208.63","QUIC","558","Protected Payload (KP0), DCID=bc00ab47262c939d"
"271","0.503697","192.168.137.7","57.144.100.192","UDP","174","36465  >  443 Len=132"
"272","0.503697","192.168.137.7","57.144.100.192","UDP","78","36465  >  443 Len=36"
"273","0.505211","57.144.100.192","192.168.137.7","UDP","1274","443  >  36465 Len=1232"
"274","0.505349","57.144.100.192","192.168.137.7","UDP","1274","443  >  36465 Len=1232"
"275","0.505422","57.144.100.192","192.168.137.7","UDP","1274","443  >  36465 Len=1232"
"276","0.505483","57.144.100.192","192.168.137.7","UDP","1274","443  >  36465 Len=1232"
"277","0.505540","57.144.100.192","192.168.137.7","UDP","1274","443  >  36465 Len=1232"
"278","0.505600","57.144.100.192","192.168.137.7","UDP","1274","443  >  36465 Len=1232"
"279","0.506226","192.168.137.1","192.168.137.7","DNS","140","Standard query response 0xff27 A scontent-cgk1-1.cdninstagram.com A 157.240.208.63"
"280","0.507195","57.144.100.192","192.168.137.7","UDP","1274","443  >  48513 Len=1232"
"281","0.507328","57.144.100.192","192.168.137.7","UDP","1274","443  >  48513 Len=1232"
"282","0.507401","57.144.100.192","192.168.137.7","UDP","506","443  >  48513 Len=464"
"283","0.507480","57.144.100.192","192.168.137.7","UDP","1274","443  >  48513 Len=1232"
"284","0.507544","57.144.100.192","192.168.137.7","UDP","1274","443  >  48513 Len=1232"
"285","0.507605","57.144.100.192","192.168.137.7","UDP","1274","443  >  48513 Len=1232"
"286","0.507665","57.144.100.192","192.168.137.7","UDP","506","443  >  48513 Len=464"
"287","0.507727","57.144.100.192","192.168.137.7","UDP","1274","443  >  48513 Len=1232"
"288","0.507789","57.144.100.192","192.168.137.7","UDP","1274","443  >  48513 Len=1232"
"289","0.507850","57.144.100.192","192.168.137.7","UDP","538","443  >  48513 Len=496"
"290","0.507907","57.144.100.192","192.168.137.7","UDP","1274","443  >  48513 Len=1232"
"291","0.508071","57.144.100.192","192.168.137.7","UDP","1274","443  >  48513 Len=1232"
"292","0.508129","57.144.100.192","192.168.137.7","UDP","1274","443  >  48513 Len=1232"
"293","0.511460","192.168.137.7","57.144.100.192","UDP","174","36465  >  443 Len=132"
"294","0.513124","192.168.137.7","57.144.100.192","UDP","78","48513  >  443 Len=36"
"295","0.517975","57.144.100.192","192.168.137.7","UDP","1274","443  >  48513 Len=1232"
"296","0.518107","57.144.100.192","192.168.137.7","UDP","1274","443  >  48513 Len=1232"
"297","0.518176","57.144.100.192","192.168.137.7","UDP","1274","443  >  48513 Len=1232"
"298","0.518240","57.144.100.192","192.168.137.7","UDP","1274","443  >  48513 Len=1232"
"299","0.518299","57.144.100.192","192.168.137.7","UDP","1274","443  >  48513 Len=1232"
"300","0.518358","57.144.100.192","192.168.137.7","UDP","1274","443  >  48513 Len=1232"
"301","0.518415","57.144.100.192","192.168.137.7","UDP","1274","443  >  48513 Len=1232"
"302","0.520314","57.144.100.192","192.168.137.7","UDP","1274","443  >  48513 Len=1232"
"303","0.520442","57.144.100.192","192.168.137.7","UDP","1274","443  >  48513 Len=1232"
"304","0.520514","57.144.100.192","192.168.137.7","UDP","1274","443  >  48513 Len=1232"
"305","0.520576","57.144.100.192","192.168.137.7","UDP","1274","443  >  48513 Len=1232"
"306","0.520661","57.144.100.192","192.168.137.7","UDP","1274","443  >  48513 Len=1232"
